Name,ValueinCR,MatchPlayed,InningsBatted,RunsScored,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,InningsBowled,Overs,Maidens,RunsConceded,Wickets
Mayank Agarwal,12,100,95,2131,1,11,203,85,23.41,135.47,40,,,,,
Liam Livingstone,11.5,9,9,112,0,0,9,6,14,125.84,7,1,1,0,13,0
Kagiso Rabada,9.25,50,18,138,0,0,11,4,13.8,102.98,23,50,190,2,1560,76
Shahrukh Khan,9,11,10,153,0,0,9,10,21.85,134.21,4,,,,,
Shikhar Dhawan,8.25,192,191,5784,2,44,654,124,34.84,126.64,82,6,8,0,66,4
Jonny Bairstow,6.75,28,28,1038,1,7,99,46,41.52,142.19,18,,,,,
Odean Smith,6,,,,,,,,,,,,,,,
Rahul Chahar,5.25,42,11,31,0,0,3,0,4.42,96.87,11,41,150,0,1117,43
Arshdeep Singh,4,23,3,2,0,0,0,0,2,33.33,6,23,76.1,1,669,30
Harpreet Brar,3.8,10,6,84,0,0,5,3,,120,2,10,32,1,228,5
Vaibhav Arora,2,,,,,,,,,,,,,,,
Raj Bawa,2,,,,,,,,,,,,,,,
Nathan Ellis,0.75,3,2,18,0,0,0,1,18,112.5,,3,11,0,90,1
Prabhsimran Singh,0.6,5,5,50,0,0,4,2,10,90.9,2,,,,,
Rishi Dhawan,0.55,26,17,153,0,0,13,4,21.85,113.33,6,25,81.2,1,640,18
Bhanuka Rajapaksa,0.5,,,,,,,,,,,,,,,
Sandeep Sharma,0.5,99,25,52,0,0,4,0,8.66,81.25,12,99,366.2,8,2849,112
Benny Howell,0.4,,,,,,,,,,,,,,,
Ishan Porel,0.25,1,0,,0,0,0,0,,0,,1,4,0,39,1
Prerak Mankad,0.2,,,,,,,,,,,,,,,
Atharva Taide,0.2,,,,,,,,,,,,,,,
Ansh Patel,0.2,,,,,,,,,,,,,,,
Jitesh Sharma,0.2,,,,,,,,,,,,,,,
Writtick Chatterjee,0.2,,,,,,,,,,,,,,,
Baltej Singh,0.2,,,,,,,,,,,,,,,
Kane Williamson,14,63,62,1885,0,17,165,56,40.1,131.26,29,2,3,0,31,0
Nicholas Pooran,10.75,33,31,606,0,2,35,44,22.44,154.98,11,,,,,
Washington Sundar,8.75,42,26,217,0,0,17,6,13.56,111.28,9,41,125,1,867,27
Rahul Tripathi,8.5,62,60,1385,0,7,136,48,26.13,136.31,23,1,1,0,12,0
Romario Shepherd,7.75,,,,,,,,,,,,,,,
Abhishek Sharma,6.5,22,20,241,0,0,17,12,17.21,139.3,5,14,22,0,176,7
Bhuvneshwar Kumar,4.2,132,51,217,0,0,20,3,8.34,96.87,27,132,491.3,9,3588,142
Marco Jansen,4.2,2,2,0,0,0,0,0,0,0,1,2,6,0,45,2
Umran Malik,4,3,0,,0,0,0,0,,0,,3,12,0,96,2
Abdul Samad,4,23,18,222,0,0,12,14,15.85,146.05,13,4,8,0,105,2
T Natarajan,4,24,4,3,0,0,0,0,,60,3,24,83.3,1,688,20
Kartik Tyagi,4,14,5,6,0,0,0,0,3,60,3,14,52.1,0,491,13
